supplier_name,filename,submission_date,experience_rating
Apex Systems,Apex_Systems_RFP_Response.pdf,2026-08-10,8.5
BrightPath Tech,BrightPath_Tech_RFP_Response.pdf,2026-08-08,5.0
NexaWorks,NexaWorks_RFP_Response.pdf,2026-08-09,7.5
Orbit Digital,Orbit_Digital_RFP_Response.pdf,2026-08-11,9.0
Vertex Cloud Solutions,Vertex_Cloud_Solutions_RFP_Response.pdf,2026-08-12,6.0
Meridian Support Systems,Meridian_Support_Systems_RFP_Response.pdf,2026-08-07,9.5
Swift Helpdesk Co,Swift_Helpdesk_Co_RFP_Response.pdf,2026-08-14,3.0
Highland Data Partners,Highland_Data_Partners_RFP_Response.pdf,2026-08-13,6.5
Northstar Integration Group,Northstar_Integration_Group_RFP_Response.pdf,2026-08-15,7.0
Clearline Software,Clearline_Software_RFP_Response.pdf,2026-08-16,5.5
Pinnacle Enterprise Systems,Pinnacle_Enterprise_Systems_RFP_Response.pdf,2026-08-04,9.8
Sagewell Consulting,Sagewell_Consulting_RFP_Response.pdf,2026-08-17,6.8
Ironclad Secure Systems,Ironclad_Secure_Systems_RFP_Response.pdf,2026-08-06,9.2
QuickDesk Solutions,QuickDesk_Solutions_RFP_Response.pdf,2026-08-18,2.5
Beacon Field Services,Beacon_Field_Services_RFP_Response.pdf,2026-08-19,6.2
Fortify Cyber Solutions,Fortify_Cyber_Solutions_RFP_Response.pdf,2026-08-20,8.0
Riverside Managed IT,Riverside_Managed_IT_RFP_Response.pdf,2026-08-21,6.0
Catalyst Digital Works,Catalyst_Digital_Works_RFP_Response.pdf,2026-08-22,5.2
Summit Professional Services,Summit_Professional_Services_RFP_Response.pdf,2026-08-23,7.2
Delta Response Technologies,Delta_Response_Technologies_RFP_Response.pdf,2026-08-24,6.9
